Year,revenue_b,revenue_yoy_pct,net_margin_pct,gross_margin_pct,fcf_margin_pct,debt_equity
2021,,,,,,
2022,81.46,,15.45,25.6,9.27,0.13
2023,96.77,18.8,15.5,18.25,4.5,0.15
2024,97.69,0.95,7.3,17.86,3.67,0.19
2025,94.83,-2.93,4.0,18.03,6.56,0.18
