Year,revenue_b,revenue_yoy_pct,net_margin_pct,gross_margin_pct,fcf_margin_pct,debt_equity
2021,,,,,,
2022,116.61,,19.9,78.35,16.54,0.21
2023,134.9,15.69,28.98,80.76,32.67,0.24
2024,164.5,21.94,37.91,81.67,32.87,0.27
2025,200.97,22.17,30.08,82.0,22.94,0.39
