Year,revenue_b,revenue_yoy_pct,net_margin_pct,gross_margin_pct,fcf_margin_pct,debt_equity
2022,513.98,,-0.53,43.81,-3.29,0.96
2023,574.78,11.83,5.29,46.98,5.61,0.67
2024,637.96,10.99,9.29,48.85,5.15,0.46
2025,716.92,12.38,10.83,50.29,1.07,0.37
