Year,revenue_b,revenue_yoy_pct,net_margin_pct,gross_margin_pct,fcf_margin_pct,debt_equity
2022,26.49,,5.45,73.48,19.94,0.24
2023,31.35,18.35,0.66,73.34,20.14,0.24
2024,34.86,11.18,11.87,75.5,27.25,0.21
2025,37.9,8.72,16.35,77.19,32.81,0.19
