Year,revenue_b,revenue_yoy_pct,net_margin_pct,gross_margin_pct,fcf_margin_pct,debt_equity
2022,26.91,,36.23,64.93,30.21,0.44
2023,26.97,0.22,16.19,56.93,14.12,0.54
2024,60.92,125.85,48.85,72.72,44.35,0.26
2025,130.5,114.2,55.85,74.99,46.63,0.13
