Year,revenue_b,revenue_yoy_pct,net_margin_pct,gross_margin_pct,fcf_margin_pct,debt_equity
2021,,,,,,
2022,394.33,,25.31,43.31,28.26,2.61
2023,383.28,-2.8,25.31,44.13,25.98,1.79
2024,391.04,2.02,23.97,46.21,27.83,1.87
2025,416.16,6.43,26.92,46.91,23.73,1.34
