Year,revenue_b,revenue_yoy_pct,net_margin_pct,gross_margin_pct,fcf_margin_pct,debt_equity
2022,198.27,,36.69,68.4,32.86,0.37
2023,211.92,6.88,34.15,68.92,28.07,0.29
2024,245.12,15.67,35.96,69.76,30.22,0.25
2025,281.72,14.93,36.15,68.82,25.42,0.18
