Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2024-02-20,179.9225311279297,180.78467987026374,178.37660298808711,180.1504525533752,53665600
2024-02-21,180.6757354736328,181.24058700664372,179.03070272630967,180.2991577041748,41371400
2024-02-22,182.7071990966797,183.29188949706392,180.8144364958238,181.82522643308513,52292200
2024-02-23,180.87388610839844,183.37114775196545,180.58649310326592,183.34141952676862,45119700
2024-02-26,179.5261688232422,181.11172976770854,179.02075870271764,180.59643039937333,40867400
2024-02-27,180.98291015625,182.26126931281985,177.94059046680667,179.46671005654383,54318900
2024-02-28,179.7838134765625,181.46847854843006,178.50545433930714,180.8639793914523,48953900
2024-02-29,179.11985778808594,180.92345088953732,177.9108594746495,179.63517226295397,136682600
2024-03-01,178.03968811035156,178.90183692569335,175.78025215753124,177.93067957222544,73563100
2024-03-04,173.52081298828125,175.30456703921072,172.22261492332544,174.56133114426578,81510100
2024-03-05,168.58572387695312,170.48840604509627,168.0902332564625,169.21995126633416,95132400
2024-03-06,167.5947265625,169.6956168742887,167.1586924388991,169.51723240501005,68587700
2024-03-07,167.475830078125,169.1902233947002,166.97043508778398,167.62447121611535,71765100
2024-03-08,169.19024658203125,172.13346248699506,167.41639656715574,167.47585303050033,76267000
2024-03-11,171.19203186035156,172.80733633404748,170.49834792480524,171.3803207402518,60139500
2024-03-12,171.66766357421875,172.46045153320196,169.4676841705973,171.58838326620315,59825400
2024-03-13,169.58663940429688,171.62805851944387,169.2199660307435,171.21184817645832,52488700
2024-03-14,171.4397430419922,172.73792596009017,170.49831395125625,171.35055836544484,72913500
2024-03-15,171.0631866455078,171.0631866455078,168.75419840900892,169.6262667891251,121752700
2024-03-18,172.15325927734375,176.107279800922,171.95506605696912,173.98658058844927,75604200
2024-03-19,174.4919891357422,175.0172080151,171.46949314620932,172.76767622994936,55215200
2024-03-20,177.05859375,177.05859375,173.5108795488189,174.1352024891535,53423100
2024-03-21,169.82444763183594,175.8892630091755,169.29922879245808,175.45322885093574,106181300
2024-03-22,170.7262420654297,171.48930183291895,168.52626256417108,170.21092760104455,71160100
2024-03-25,169.30914306640625,170.3893089389317,167.92176032191367,169.03166954174233,54288300
2024-03-26,168.17942810058594,169.87399750483326,168.0505957042821,168.4668059986792,57388400
2024-03-27,171.7469482421875,172.0343412561863,168.575811446925,168.87310882923745,60273300
2024-03-28,169.9334716796875,170.67670766601367,168.97221859434498,170.20104086869387,65672700
2024-04-01,168.4965362548828,169.70553455748254,167.9514935576168,169.6460781034487,46240500
2024-04-02,167.31727600097656,167.81276664190898,166.71277681419204,167.5551169522469,49329500
2024-04-03,168.1199493408203,169.14065873561202,167.05960735256843,167.26770493028647,47691700
2024-04-04,167.2974853515625,170.3695185848013,167.2974853515625,168.75421408193165,53704400
2024-04-05,168.0505828857422,168.85327518664994,167.4262599311819,168.0604872534819,42104800
2024-04-08,166.9307861328125,167.67402205960258,166.72268854116854,167.50555706407098,37425500
2024-04-09,168.13978576660156,168.5460917055098,166.83169838821917,167.17853275073267,42373800
2024-04-10,166.26681518554688,167.56499806522814,165.60285963338822,167.27762018668898,49709300
2024-04-11,173.4613494873047,173.87757491447604,166.64340884278624,166.8217782077108,91070300
2024-04-12,174.95773315429688,176.75140669942581,172.63884078505302,172.68837774790788,101670900
2024-04-15,171.13255310058594,175.0370216134587,170.94426424521788,173.77847120218846,73531800
2024-04-16,167.8524169921875,172.1929047923956,166.75242714722782,170.20103782824683,73711200
2024-04-17,166.48484802246094,169.11094225529814,166.48484802246094,168.08032842085646,50901200
2024-04-18,165.53347778320312,167.11905360596796,165.04790671737481,166.51455452467067,43122900
2024-04-19,163.5119171142578,164.89928490796945,162.60021611822233,164.71101115974596,68149400
2024-04-22,164.34429931640625,165.751490640931,163.28395741969712,164.02719323258373,48116400
2024-04-23,165.39476013183594,165.54341638804536,163.43262154349364,163.85875133255257,49537800
2024-04-24,167.4956512451172,167.77312477902248,164.71099641624178,165.03800691456527,48251800
2024-04-25,168.35780334472656,169.07131105182287,166.63349053238153,168.0010494911784,50558300
2024-04-26,167.77310180664062,169.79469657988224,167.6541737932701,168.34787265422193,44838400
2024-04-29,171.9352264404297,174.4424074952563,171.5388400360099,171.80639405446584,68169400
2024-04-30,168.7938232421875,173.4117990890393,168.46679764398493,171.76676673002254,65934800
2024-05-01,167.77310180664062,171.1523509575647,167.5848129798778,168.05057530255277,50383100
2024-05-02,171.46949768066406,171.85597979307556,169.34879824722077,170.95418315705703,94214900
2024-05-03,181.7261505126953,185.313497878847,181.01264278710423,184.9666483851495,163224100
2024-05-06,180.0712127685547,182.53874644704828,178.79283846563771,180.70544017490002,78569700
2024-05-07,180.75497436523438,183.23242749590466,179.68472791941784,181.79550770435065,77305800
2024-05-08,181.0919189453125,181.4189445721307,179.81354466582562,181.20092748758523,45057100
2024-05-09,182.90541076660156,182.99459544718977,180.4675903156434,180.91352883975787,48983000
2024-05-10,181.6451416015625,183.669478466616,180.73220418072017,183.48093424482693,50759500
2024-05-13,184.85037231445312,185.6640864017181,183.20310853414878,184.01682262141375,72044800
2024-05-14,185.9915313720703,186.8548647149755,184.8602810891409,186.07091921634225,52393600
2024-05-15,188.2639617919922,189.1868170758504,185.93199122253947,186.46785537715886,70400000
2024-05-16,188.38304138183594,189.6333810173086,188.2044300863017,189.00821119957226,52845200
2024-05-17,188.41282653808594,189.34561487480414,187.72811956148706,188.05558877384672,41282900
2024-05-20,189.5738525390625,190.4471038045087,187.55943303128691,187.87698445206195,44361300
2024-05-21,190.87379455566406,191.2508679069906,189.45476137627725,189.62345487533878,42309400
2024-05-22,189.4349365234375,191.34021485468898,188.8097817395038,190.79443278801205,34648500
2024-05-23,185.44577026367188,189.5341459487459,185.19768892080702,189.51429520164533,51005900
2024-05-24,188.52197265625,189.11737394472448,186.59685898409072,187.37088671578107,36327000
2024-05-28,188.53189086914062,191.5187845976106,187.64872194997955,190.04021443649896,52280100
2024-05-29,188.82958984375,190.7745542503335,188.05557725890648,188.15481585355153,53068000
2024-05-30,189.82192993164062,190.70509898235173,189.16700663796175,189.29599865097472,49889100
2024-05-31,190.77455139160156,191.09210277636024,188.45251367186646,189.9707702687458,75158300
2024-06-03,192.54087829589844,193.49351725389894,191.04247253185534,191.41954585254337,50080500
2024-06-04,192.8584442138672,193.82100104656786,191.548567440495,193.1462119125533,47471400
2024-06-05,194.3667755126953,195.38886948576234,193.37445009094603,193.9003813531384,54156800
2024-06-06,192.9874267578125,194.9919281725913,192.67980832687616,194.1881470745491,41181800
2024-06-07,195.37893676757812,195.42855606321456,192.65004206608782,193.1561225415401,53103900
2024-06-10,191.6378631591797,195.7857909182053,190.6753063763642,195.3888517006261,97010200
2024-06-11,205.56019592285156,205.57012886730556,192.14396771907968,192.1638033246204,172373300
2024-06-12,211.43478393554688,218.5100538646653,205.3121227860245,205.7785169434978,198134300
2024-06-13,212.5957794189453,215.08651049080893,209.97604121171418,213.09194207290335,97862700
2024-06-14,210.8592071533203,213.51863167298376,209.67833763090172,212.20877015870124,70122700
2024-06-17,215.0071258544922,217.2696263789355,211.08744385812574,211.73244926121387,93728300
2024-06-18,212.6453857421875,216.95208913019513,211.36529274424583,215.9200623200828,79943300
2024-06-20,208.07078552246094,212.59580212894483,207.2471687535905,212.28816853161533,86172500
2024-06-21,205.89759826660156,210.26382387597764,205.5205097773767,208.77533580800622,241805100
2024-06-24,206.5426025390625,211.06760381745957,205.00449518251241,206.12582769938734,80727000
2024-06-25,207.4654541015625,209.75772308170346,207.0089778092255,207.54482679949032,55549700
2024-06-26,211.61338806152344,213.2110325348534,209.0234182045521,209.87681864015101,66213200
2024-06-27,212.45687866210938,214.08429174664712,210.72030917561003,213.04234702641065,49772700
2024-06-28,209.00352478027344,214.41170913015569,208.6859885960222,214.11400854751474,82542700
2024-07-01,215.0865020751953,215.84066382869798,210.29356920849017,210.4622626872336,60402900
2024-07-02,218.57949829101562,218.68865467979296,213.4491783018458,214.49110775455017,58046200
2024-07-03,219.84970092773438,219.84970092773438,217.34903661716913,218.31159349071294,37369800
2024-07-05,224.60292053222656,224.71207692855523,219.94891212590596,219.94891212590596,60412400
2024-07-08,226.07154846191406,226.1013170084402,221.53661474646515,225.3471401186269,59085900
2024-07-09,226.92495727539062,227.63943274976205,224.63268810415036,226.180713251394,48076100
2024-07-10,231.1919403076172,231.29117889263895,227.49057123987387,227.54019053238477,62627700
2024-07-11,225.823486328125,230.60648662367137,224.03729767642758,229.61416127735984,64710600
2024-07-12,228.7706756591797,230.8545649156238,226.92494993371525,227.16311346469493,53046500
2024-07-15,232.60105895996094,235.409341553401,231.30111515749465,234.66509753137677,62631300
2024-07-16,233.01785278320312,234.4567215545301,230.54695713829173,233.19646408342908,43234300
2024-07-17,227.1234130859375,229.68361410453295,224.90059902579642,227.6890306172661,57345900
2024-07-18,222.45947265625,228.6714385621368,220.5641428905974,228.5126628842939,66034600
2024-07-19,222.5885009765625,225.0593965950336,221.56640705838353,223.09459660515446,49151500
2024-07-22,222.24118041992188,226.03185518490554,221.37784711424985,225.2677604657143,48201800
2024-07-23,223.2831268310547,225.19832267550643,220.97100689389265,222.64803919770813,39960300
2024-07-24,216.86277770996094,223.0747441599071,215.46361045876344,222.280880842846,61777600
2024-07-25,215.8208465576172,219.15506035064124,212.97286249707204,217.24978234747041,51391200
2024-07-26,216.2872314453125,217.80548795978973,214.35218497553956,217.02154248476683,41601300
2024-07-29,216.56507873535156,217.61694112977094,214.09418328948692,215.29490356378676,36311800
