Year,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Retained Earnings,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Tradeand Other Payables Non Current,Non Current Deferred Liabilities,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Deferred Liabilities,Current Deferred Revenue,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Commercial Paper,Pensionand Other Post Retirement Benefit Plans Current,Payables And Accrued Expenses,Payables,Total Tax Payable,Income Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Financial Assets,Investments And Advances,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Leases,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Inventory,Finished Goods,Work In Process,Raw Materials,Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial
2025,7.434158655,7.434158655,12.909,60.588,201.366,386.63,49.913,201.366,17.437,343.479,383.631,343.479,343.479,-3.347,-3.347,237.731,109.095,109.095,275.524,134.306,45.186,25.986,5.545,2.71,2.835,57.589,17.437,40.152,141.218,25.02,64.555,64.555,2.999,2.999,2.999,0.0,13.709,34.935,34.935,7.211,7.211,27.724,619.003,427.872,40.565,0.272,15.133,2.46,2.46,12.673,142.113,22.604,119.509,229.789,-93.653,323.442,12.117,24.823,139.243,137.921,9.338,0.0,191.131,25.723,0.01,0.938,,,,69.905,69.905,-0.944,70.849,94.555,64.313,30.242,18.531,11.711
2024,7.434138859,7.434138859,33.315,67.127,121.66,320.107,34.448,121.66,15.497,268.477,311.165,268.477,268.477,-5.59,-5.59,173.144,100.923,100.923,243.686,118.4,27.064,27.931,5.22,2.602,2.618,58.185,15.497,42.688,125.286,19.185,57.582,57.582,8.942,8.942,2.249,6.693,12.564,27.013,27.013,5.017,5.017,21.996,512.163,352.429,36.46,0.0,14.6,1.5,1.5,13.1,146.817,27.597,119.22,154.552,-76.421,230.973,9.594,18.961,100.312,93.943,8.163,0.0,159.734,26.021,0.012,1.246,0.845,0.007,0.394,56.924,56.924,-0.83,57.754,75.531,57.216,18.315,6.744,11.571
2023,7.432,7.432,12.533,59.965,128.971,253.46,80.108,128.971,12.728,206.223,248.213,206.223,206.223,-6.343,-6.343,118.848,93.718,93.718,205.753,101.604,17.981,25.56,3.345,2.912,0.433,54.718,12.728,41.99,104.149,14.745,50.901,50.901,5.247,5.247,5.247,0.0,11.009,22.247,22.247,4.152,4.152,18.095,411.976,227.719,30.601,0.0,9.879,0.0,,9.879,77.252,9.366,67.886,109.987,-68.251,178.238,8.537,14.346,81.207,68.465,5.683,0.0,184.257,21.807,0.006,2.5,1.768,0.023,0.709,48.688,48.688,-0.65,49.338,111.256,76.552,34.704,26.226,8.478
2022,7.464,7.464,35.85,61.27,87.72,216.323,74.602,87.72,11.489,166.542,213.574,166.542,166.542,-4.678,-4.678,84.281,86.939,86.939,198.298,103.216,15.526,26.069,3.1,2.87,0.23,58.521,11.489,47.032,95.082,13.067,45.538,45.538,2.749,2.749,,,10.661,23.067,23.067,4.067,4.067,19.0,364.84,195.156,21.897,0.0,6.891,0.0,,6.891,78.822,11.298,67.524,87.546,-59.66,147.206,7.819,13.148,66.491,55.014,4.734,0.0,169.684,16.924,0.008,3.742,2.516,0.082,1.144,44.261,44.261,-0.633,44.894,104.749,90.818,13.931,5.673,8.258
2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.367,0.079,1.19,,,,,,,,,
